edge_id,panel_id,panel_type,zone,first_batch,edge_index,node_a,node_b,edge_length_mm,matching_panel_ids,matching_edge_indexes,matching_zones,match_count,candidate_boundary
E035,QUAD002-B,triangle,center_face,yes,3,P059,P002,13.48,,,,0,yes
E032,QUAD003-A,triangle,right_cheek,yes,1,P003,P011,31.59,QUAD002-A,2,center_face,1,no
E036,QUAD003-A,triangle,right_cheek,yes,2,P011,P012,24.61,TRI020,1,right_cheek,1,no
E037,QUAD003-A,triangle,right_cheek,yes,3,P012,P003,48.18,QUAD003-B,1,bottom,1,no
E037,QUAD003-B,triangle,bottom,yes,1,P003,P012,48.18,QUAD003-A,3,right_cheek,1,no
E038,QUAD003-B,triangle,bottom,yes,2,P012,P013,38.34,QUAD013-A,1,bottom,1,no
E039,QUAD003-B,triangle,bottom,yes,3,P013,P003,34.31,TRI005,3,bottom,1,no
E040,QUAD004-A,triangle,center_face,yes,1,P003,P040,31.76,QUAD005-A,1,left_cheek,1,no
E041,QUAD004-A,triangle,center_face,yes,2,P040,P034,11.81,QUAD022-A,2,center_face,1,no
E042,QUAD004-A,triangle,center_face,yes,3,P034,P003,32.75,QUAD004-B,1,center_face,1,no
E042,QUAD004-B,triangle,center_face,yes,1,P003,P034,32.75,QUAD004-A,3,center_face,1,no
E043,QUAD004-B,triangle,center_face,yes,2,P034,P059,13.48,,,,0,yes
E034,QUAD004-B,triangle,center_face,yes,3,P059,P003,29.79,QUAD002-B,2,center_face,1,no
E040,QUAD005-A,triangle,left_cheek,yes,1,P003,P040,31.76,QUAD004-A,1,center_face,1,no
E044,QUAD005-A,triangle,left_cheek,yes,2,P040,P041,24.61,TRI048,1,left_cheek,1,no
E045,QUAD005-A,triangle,left_cheek,yes,3,P041,P003,48.4,QUAD005-B,1,bottom,1,no
E045,QUAD005-B,triangle,bottom,yes,1,P003,P041,48.4,QUAD005-A,3,left_cheek,1,no
E046,QUAD005-B,triangle,bottom,yes,2,P041,P042,38.34,QUAD027-A,1,bottom,1,no
E047,QUAD005-B,triangle,bottom,yes,3,P042,P003,34.51,TRI006,3,bottom,1,no
E048,QUAD006-A,triangle,bottom,yes,1,P005,P013,21.62,TRI007,2,bottom,1,no
E049,QUAD006-A,triangle,bottom,yes,2,P013,P030,49.08,QUAD013-A,2,bottom,1,no
E050,QUAD006-A,triangle,bottom,yes,3,P030,P005,45.01,QUAD006-B,1,bottom,1,no
E050,QUAD006-B,triangle,bottom,yes,1,P005,P030,45.01,QUAD006-A,3,bottom,1,no
E051,QUAD006-B,triangle,bottom,yes,2,P030,P029,24.78,TRI038,1,bottom,1,no
E052,QUAD006-B,triangle,bottom,yes,3,P029,P005,56.46,,,,0,yes
E053,QUAD008-A,triangle,ear_or_outer_top,yes,1,P007,P025,35.79,,,,0,yes
E054,QUAD008-A,triangle,ear_or_outer_top,yes,2,P025,P026,63.37,,,,0,yes
E055,QUAD008-A,triangle,ear_or_outer_top,yes,3,P026,P007,97.4,QUAD008-B,1,ear_or_outer_top,1,no
E055,QUAD008-B,triangle,ear_or_outer_top,yes,1,P007,P026,97.4,QUAD008-A,3,ear_or_outer_top,1,no
E056,QUAD008-B,triangle,ear_or_outer_top,yes,2,P026,P069,45.54,QUAD021-B,3,right_cheek,1,no
E057,QUAD008-B,triangle,ear_or_outer_top,yes,3,P069,P007,92.39,TRI012,3,ear_or_outer_top,1,no
E038,QUAD013-A,triangle,bottom,yes,1,P012,P013,38.34,QUAD003-B,2,bottom,1,no
E049,QUAD013-A,triangle,bottom,yes,2,P013,P030,49.08,QUAD006-A,2,bottom,1,no
E058,QUAD013-A,triangle,bottom,yes,3,P030,P012,45.46,QUAD013-B,1,right_cheek,1,no
E058,QUAD013-B,triangle,right_cheek,yes,1,P012,P030,45.46,QUAD013-A,3,bottom,1,no
E059,QUAD013-B,triangle,right_cheek,yes,2,P030,P014,38.11,QUAD014-B,3,right_cheek,1,no
E060,QUAD013-B,triangle,right_cheek,yes,3,P014,P012,24.83,TRI021,1,right_cheek,1,no
E061,QUAD014-A,triangle,right_cheek,yes,1,P014,P017,29.34,TRI022,3,right_cheek,1,no
E062,QUAD014-A,triangle,right_cheek,yes,2,P017,P020,27.21,TRI025,2,right_cheek,1,no
E063,QUAD014-A,triangle,right_cheek,yes,3,P020,P014,50.49,QUAD014-B,1,right_cheek,1,no
E063,QUAD014-B,triangle,right_cheek,yes,1,P014,P020,50.49,QUAD014-A,3,right_cheek,1,no
E064,QUAD014-B,triangle,right_cheek,yes,2,P020,P030,67.24,QUAD017-B,3,right_cheek,1,no
E059,QUAD014-B,triangle,right_cheek,yes,3,P030,P014,38.11,QUAD013-B,2,right_cheek,1,no
E065,QUAD017-A,triangle,right_cheek,yes,1,P020,P021,62.21,TRI028,1,right_cheek,1,no
E066,QUAD017-A,triangle,right_cheek,yes,2,P021,P032,51.99,TRI029,3,right_cheek,1,no
E067,QUAD017-A,triangle,right_cheek,yes,3,P032,P020,53.45,QUAD017-B,1,right_cheek,1,no
E067,QUAD017-B,triangle,right_cheek,yes,1,P020,P032,53.45,QUAD017-A,3,right_cheek,1,no
E068,QUAD017-B,triangle,right_cheek,yes,2,P032,P030,51.38,TRI038,2,bottom,1,no
E064,QUAD017-B,triangle,right_cheek,yes,3,P030,P020,67.24,QUAD014-B,2,right_cheek,1,no
E069,QUAD018-A,triangle,right_cheek,yes,1,P021,P026,57.48,TRI028,2,right_cheek,1,no
E070,QUAD018-A,triangle,right_cheek,yes,2,P026,P067,66.52,QUAD021-A,1,right_cheek,1,no
E071,QUAD018-A,triangle,right_cheek,yes,3,P067,P021,80.58,QUAD018-B,1,back,1,no
E071,QUAD018-B,triangle,back,yes,1,P021,P067,80.58,QUAD018-A,3,right_cheek,1,no
E072,QUAD018-B,triangle,back,yes,2,P067,P071,49.58,QUAD036-B,3,back,1,no
E073,QUAD018-B,triangle,back,yes,3,P071,P021,45.51,TRI030,3,back,1,no
E070,QUAD021-A,triangle,right_cheek,yes,1,P026,P067,66.52,QUAD018-A,2,right_cheek,1,no
E074,QUAD021-A,triangle,right_cheek,yes,2,P067,P028,64.12,TRI033,2,forehead,1,no
E075,QUAD021-A,triangle,right_cheek,yes,3,P028,P026,65.9,QUAD021-B,1,right_cheek,1,no
E075,QUAD021-B,triangle,right_cheek,yes,1,P026,P028,65.9,QUAD021-A,3,right_cheek,1,no
E076,QUAD021-B,triangle,right_cheek,yes,2,P028,P069,44.88,TRI012,2,ear_or_outer_top,1,no
E056,QUAD021-B,triangle,right_cheek,yes,3,P069,P026,45.54,QUAD008-B,2,ear_or_outer_top,1,no
E005,QUAD022-A,triangle,center_face,yes,1,P033,P034,43.48,MANQ001-B,3,center_face,1,no
E041,QUAD022-A,triangle,center_face,yes,2,P034,P040,11.81,QUAD004-A,2,center_face,1,no
E077,QUAD022-A,triangle,center_face,yes,3,P040,P033,45.85,QUAD022-B,1,left_cheek,1,no
E077,QUAD022-B,triangle,left_cheek,yes,1,P033,P040,45.85,QUAD022-A,3,center_face,1,no
E078,QUAD022-B,triangle,left_cheek,yes,2,P040,P044,39.45,TRI048,3,left_cheek,1,no
E079,QUAD022-B,triangle,left_cheek,yes,3,P044,P033,14.74,TRI042,1,left_cheek,1,no
E080,QUAD023-A,triangle,bottom,yes,1,P035,P042,21.62,TRI009,2,bottom,1,no
E081,QUAD023-A,triangle,bottom,yes,2,P042,P056,49.08,QUAD027-A,2,bottom,1,no
E082,QUAD023-A,triangle,bottom,yes,3,P056,P035,45.01,QUAD023-B,1,bottom,1,no
E082,QUAD023-B,triangle,bottom,yes,1,P035,P056,45.01,QUAD023-A,3,bottom,1,no
E083,QUAD023-B,triangle,bottom,yes,2,P056,P055,24.78,TRI060,1,bottom,1,no
E084,QUAD023-B,triangle,bottom,yes,3,P055,P035,56.46,,,,0,yes
E085,QUAD025-A,triangle,ear_or_outer_top,yes,1,P037,P051,35.79,,,,0,yes
E086,QUAD025-A,triangle,ear_or_outer_top,yes,2,P051,P052,63.37,,,,0,yes
E087,QUAD025-A,triangle,ear_or_outer_top,yes,3,P052,P037,97.4,QUAD025-B,1,ear_or_outer_top,1,no
E087,QUAD025-B,triangle,ear_or_outer_top,yes,1,P037,P052,97.4,QUAD025-A,3,ear_or_outer_top,1,no
E088,QUAD025-B,triangle,ear_or_outer_top,yes,2,P052,P066,45.54,QUAD035-B,3,left_cheek,1,no
E089,QUAD025-B,triangle,ear_or_outer_top,yes,3,P066,P037,92.39,TRI045,3,ear_or_outer_top,1,no
E046,QUAD027-A,triangle,bottom,yes,1,P041,P042,38.34,QUAD005-B,2,bottom,1,no
E081,QUAD027-A,triangle,bottom,yes,2,P042,P056,49.08,QUAD023-A,2,bottom,1,no
E090,QUAD027-A,triangle,bottom,yes,3,P056,P041,45.46,QUAD027-B,1,left_cheek,1,no
E090,QUAD027-B,triangle,left_cheek,yes,1,P041,P056,45.46,QUAD027-A,3,bottom,1,no
E091,QUAD027-B,triangle,left_cheek,yes,2,P056,P043,38.11,QUAD028-B,3,left_cheek,1,no
E092,QUAD027-B,triangle,left_cheek,yes,3,P043,P041,24.83,TRI049,1,left_cheek,1,no
E093,QUAD028-A,triangle,left_cheek,yes,1,P043,P046,29.34,TRI050,3,left_cheek,1,no
E094,QUAD028-A,triangle,left_cheek,yes,2,P046,P049,27.21,TRI053,2,left_cheek,1,no
E095,QUAD028-A,triangle,left_cheek,yes,3,P049,P043,50.49,QUAD028-B,1,left_cheek,1,no
E095,QUAD028-B,triangle,left_cheek,yes,1,P043,P049,50.49,QUAD028-A,3,left_cheek,1,no
E096,QUAD028-B,triangle,left_cheek,yes,2,P049,P056,67.24,QUAD031-B,3,left_cheek,1,no
E091,QUAD028-B,triangle,left_cheek,yes,3,P056,P043,38.11,QUAD027-B,2,left_cheek,1,no
E097,QUAD031-A,triangle,left_cheek,yes,1,P049,P050,62.21,TRI056,1,left_cheek,1,no
E098,QUAD031-A,triangle,left_cheek,yes,2,P050,P058,51.99,TRI057,3,left_cheek,1,no
E099,QUAD031-A,triangle,left_cheek,yes,3,P058,P049,53.45,QUAD031-B,1,left_cheek,1,no
E099,QUAD031-B,triangle,left_cheek,yes,1,P049,P058,53.45,QUAD031-A,3,left_cheek,1,no
E100,QUAD031-B,triangle,left_cheek,yes,2,P058,P056,51.38,TRI060,2,bottom,1,no
E096,QUAD031-B,triangle,left_cheek,yes,3,P056,P049,67.24,QUAD028-B,2,left_cheek,1,no
E101,QUAD032-A,triangle,left_cheek,yes,1,P050,P052,57.48,TRI056,2,left_cheek,1,no
E102,QUAD032-A,triangle,left_cheek,yes,2,P052,P064,66.52,QUAD035-A,1,left_cheek,1,no
E103,QUAD032-A,triangle,left_cheek,yes,3,P064,P050,80.58,QUAD032-B,1,back,1,no
E103,QUAD032-B,triangle,back,yes,1,P050,P064,80.58,QUAD032-A,3,left_cheek,1,no
E104,QUAD032-B,triangle,back,yes,2,P064,P062,49.58,TRI063,3,back,1,no
E105,QUAD032-B,triangle,back,yes,3,P062,P050,45.51,TRI059,3,back,1,no
E102,QUAD035-A,triangle,left_cheek,yes,1,P052,P064,66.52,QUAD032-A,2,left_cheek,1,no
E106,QUAD035-A,triangle,left_cheek,yes,2,P064,P054,64.12,TRI034,2,forehead,1,no
E107,QUAD035-A,triangle,left_cheek,yes,3,P054,P052,65.9,QUAD035-B,1,left_cheek,1,no
E107,QUAD035-B,triangle,left_cheek,yes,1,P052,P054,65.9,QUAD035-A,3,left_cheek,1,no
E108,QUAD035-B,triangle,left_cheek,yes,2,P054,P066,44.88,TRI045,2,ear_or_outer_top,1,no
E088,QUAD035-B,triangle,left_cheek,yes,3,P066,P052,45.54,QUAD025-B,2,ear_or_outer_top,1,no
E109,QUAD036-A,triangle,back,yes,1,P067,P068,31.0,TRI037,2,back,1,no
E110,QUAD036-A,triangle,back,yes,2,P068,P070,56.75,,,,0,yes
E111,QUAD036-A,triangle,back,yes,3,P070,P067,53.98,QUAD036-B,1,back,1,no
E111,QUAD036-B,triangle,back,yes,1,P067,P070,53.98,QUAD036-A,3,back,1,no
E112,QUAD036-B,triangle,back,yes,2,P070,P071,23.29,TRI065,1,back,1,no
E072,QUAD036-B,triangle,back,yes,3,P071,P067,49.58,QUAD018-B,2,back,1,no
E113,TRI001,triangle,right_cheek,yes,1,P001,P009,53.56,TRI002,1,center_face,1,no
E114,TRI001,triangle,right_cheek,yes,2,P009,P019,32.06,TRI015,3,right_cheek,1,no
E115,TRI001,triangle,right_cheek,yes,3,P019,P001,26.38,TRI003,3,right_cheek,1,no
E113,TRI002,triangle,center_face,yes,1,P001,P009,53.56,TRI001,1,right_cheek,1,no
E116,TRI002,triangle,center_face,yes,2,P009,P022,42.15,TRI017,1,center_face,1,no
E117,TRI002,triangle,center_face,yes,3,P022,P001,23.84,TRI004,1,center_face,1,no
E031,TRI003,triangle,right_cheek,yes,1,P001,P015,14.74,QUAD001-B,3,right_cheek,1,no
E118,TRI003,triangle,right_cheek,yes,2,P015,P019,28.6,,,,0,yes
E115,TRI003,triangle,right_cheek,yes,3,P019,P001,26.38,TRI001,3,right_cheek,1,no
E117,TRI004,triangle,center_face,yes,1,P001,P022,23.84,TRI002,3,center_face,1,no
E119,TRI004,triangle,center_face,yes,2,P022,P033,23.84,TRI032,1,center_face,1,no
E001,TRI004,triangle,center_face,yes,3,P033,P001,26.16,MANQ001-A,1,center_face,1,no
E120,TRI005,triangle,bottom,yes,1,P003,P004,20.87,TRI006,1,bottom,1,no
E121,TRI005,triangle,bottom,yes,2,P004,P013,28.12,TRI007,3,bottom,1,no
E039,TRI005,triangle,bottom,yes,3,P013,P003,34.31,QUAD003-B,3,bottom,1,no
E120,TRI006,triangle,bottom,yes,1,P003,P004,20.87,TRI005,1,bottom,1,no
E122,TRI006,triangle,bottom,yes,2,P004,P042,26.34,TRI009,3,bottom,1,no
E047,TRI006,triangle,bottom,yes,3,P042,P003,34.51,QUAD005-B,3,bottom,1,no
E123,TRI007,triangle,bottom,yes,1,P004,P005,30.14,TRI008,1,bottom,1,no
E048,TRI007,triangle,bottom,yes,2,P005,P013,21.62,QUAD006-A,1,bottom,1,no
E121,TRI007,triangle,bottom,yes,3,P013,P004,28.12,TRI005,2,bottom,1,no
E123,TRI008,triangle,bottom,yes,1,P004,P005,30.14,TRI007,1,bottom,1,no
E026,TRI008,triangle,bottom,yes,2,P005,P035,41.96,MANQ008-B,2,bottom,1,no
E124,TRI008,triangle,bottom,yes,3,P035,P004,28.86,TRI009,1,bottom,1,no
E124,TRI009,triangle,bottom,yes,1,P004,P035,28.86,TRI008,3,bottom,1,no
E080,TRI009,triangle,bottom,yes,2,P035,P042,21.62,QUAD023-A,1,bottom,1,no
E122,TRI009,triangle,bottom,yes,3,P042,P004,26.34,TRI006,2,bottom,1,no
E125,TRI010,triangle,ear_or_outer_top,yes,1,P007,P008,92.83,,,,0,yes
E126,TRI010,triangle,ear_or_outer_top,yes,2,P008,P027,19.77,,,,0,yes
E127,TRI010,triangle,ear_or_outer_top,yes,3,P027,P007,82.17,TRI011,1,ear_or_outer_top,1,no
E127,TRI011,triangle,ear_or_outer_top,yes,1,P007,P027,82.17,TRI010,3,ear_or_outer_top,1,no
E013,TRI011,triangle,ear_or_outer_top,yes,2,P027,P028,17.76,MANQ003-B,2,forehead,1,no
E128,TRI011,triangle,ear_or_outer_top,yes,3,P028,P007,79.28,TRI012,1,ear_or_outer_top,1,no
E128,TRI012,triangle,ear_or_outer_top,yes,1,P007,P028,79.28,TRI011,3,ear_or_outer_top,1,no
E076,TRI012,triangle,ear_or_outer_top,yes,2,P028,P069,44.88,QUAD021-B,2,right_cheek,1,no
E057,TRI012,triangle,ear_or_outer_top,yes,3,P069,P007,92.39,QUAD008-B,3,ear_or_outer_top,1,no
E129,TRI013,triangle,center_face,yes,1,P009,P010,61.29,TRI014,1,forehead,1,no
E130,TRI013,triangle,center_face,yes,2,P010,P023,49.0,TRI018,1,center_face,1,no
E131,TRI013,triangle,center_face,yes,3,P023,P009,27.92,TRI017,3,center_face,1,no
E129,TRI014,triangle,forehead,yes,1,P009,P010,61.29,TRI013,1,center_face,1,no
E011,TRI014,triangle,forehead,yes,2,P010,P027,42.51,MANQ003-A,2,forehead,1,no
E132,TRI014,triangle,forehead,yes,3,P027,P009,53.36,TRI016,3,right_cheek,1,no
E133,TRI015,triangle,right_cheek,yes,1,P009,P016,47.8,TRI016,1,right_cheek,1,no
E134,TRI015,triangle,right_cheek,yes,2,P016,P019,43.37,,,,0,yes
E114,TRI015,triangle,right_cheek,yes,3,P019,P009,32.06,TRI001,2,right_cheek,1,no
E133,TRI016,triangle,right_cheek,yes,1,P009,P016,47.8,TRI015,1,right_cheek,1,no
E135,TRI016,triangle,right_cheek,yes,2,P016,P027,66.7,TRI027,3,right_cheek,1,no
E132,TRI016,triangle,right_cheek,yes,3,P027,P009,53.36,TRI014,3,forehead,1,no
E116,TRI017,triangle,center_face,yes,1,P009,P022,42.15,TRI002,2,center_face,1,no
E136,TRI017,triangle,center_face,yes,2,P022,P023,36.37,TRI031,1,center_face,1,no
E131,TRI017,triangle,center_face,yes,3,P023,P009,27.92,TRI013,3,center_face,1,no
E130,TRI018,triangle,center_face,yes,1,P010,P023,49.0,TRI013,2,center_face,1,no
E137,TRI018,triangle,center_face,yes,2,P023,P039,27.92,TRI031,2,center_face,1,no
E138,TRI018,triangle,center_face,yes,3,P039,P010,61.2,TRI019,1,forehead,1,no
E138,TRI019,triangle,forehead,yes,1,P010,P039,61.2,TRI018,3,center_face,1,no
E139,TRI019,triangle,forehead,yes,2,P039,P053,53.36,TRI047,3,left_cheek,1,no
E007,TRI019,triangle,forehead,yes,3,P053,P010,42.32,MANQ002-A,2,forehead,1,no
E036,TRI020,triangle,right_cheek,yes,1,P011,P012,24.61,QUAD003-A,2,right_cheek,1,no
E140,TRI020,triangle,right_cheek,yes,2,P012,P015,44.96,TRI021,3,right_cheek,1,no
E030,TRI020,triangle,right_cheek,yes,3,P015,P011,39.45,QUAD001-B,2,right_cheek,1,no
E060,TRI021,triangle,right_cheek,yes,1,P012,P014,24.83,QUAD013-B,3,right_cheek,1,no
E141,TRI021,triangle,right_cheek,yes,2,P014,P015,42.94,TRI022,1,right_cheek,1,no
E140,TRI021,triangle,right_cheek,yes,3,P015,P012,44.96,TRI020,2,right_cheek,1,no
E141,TRI022,triangle,right_cheek,yes,1,P014,P015,42.94,TRI021,2,right_cheek,1,no
E142,TRI022,triangle,right_cheek,yes,2,P015,P017,49.58,,,,0,yes
E061,TRI022,triangle,right_cheek,yes,3,P017,P014,29.34,QUAD014-A,1,right_cheek,1,no
E143,TRI025,triangle,right_cheek,yes,1,P016,P017,41.05,,,,0,yes
E062,TRI025,triangle,right_cheek,yes,2,P017,P020,27.21,QUAD014-A,2,right_cheek,1,no
E144,TRI025,triangle,right_cheek,yes,3,P020,P016,43.89,TRI026,1,right_cheek,1,no
E144,TRI026,triangle,right_cheek,yes,1,P016,P020,43.89,TRI025,3,right_cheek,1,no
E145,TRI026,triangle,right_cheek,yes,2,P020,P026,58.81,TRI028,3,right_cheek,1,no
E146,TRI026,triangle,right_cheek,yes,3,P026,P016,51.35,TRI027,1,right_cheek,1,no
E146,TRI027,triangle,right_cheek,yes,1,P016,P026,51.35,TRI026,3,right_cheek,1,no
E147,TRI027,triangle,right_cheek,yes,2,P026,P027,60.61,,,,0,yes
E135,TRI027,triangle,right_cheek,yes,3,P027,P016,66.7,TRI016,2,right_cheek,1,no
E065,TRI028,triangle,right_cheek,yes,1,P020,P021,62.21,QUAD017-A,1,right_cheek,1,no
E069,TRI028,triangle,right_cheek,yes,2,P021,P026,57.48,QUAD018-A,1,right_cheek,1,no
E145,TRI028,triangle,right_cheek,yes,3,P026,P020,58.81,TRI026,2,right_cheek,1,no
E148,TRI029,triangle,right_cheek,yes,1,P021,P031,49.23,TRI030,1,back,1,no
E149,TRI029,triangle,right_cheek,yes,2,P031,P032,25.15,TRI039,2,bottom,1,no
E066,TRI029,triangle,right_cheek,yes,3,P032,P021,51.99,QUAD017-A,2,right_cheek,1,no
E148,TRI030,triangle,back,yes,1,P021,P031,49.23,TRI029,1,right_cheek,1,no
E150,TRI030,triangle,back,yes,2,P031,P071,72.42,TRI040,1,back,1,no
E073,TRI030,triangle,back,yes,3,P071,P021,45.51,QUAD018-B,3,back,1,no
E136,TRI031,triangle,center_face,yes,1,P022,P023,36.37,TRI017,2,center_face,1,no
E137,TRI031,triangle,center_face,yes,2,P023,P039,27.92,TRI018,2,center_face,1,no
E151,TRI031,triangle,center_face,yes,3,P039,P022,42.15,TRI032,3,center_face,1,no
E119,TRI032,triangle,center_face,yes,1,P022,P033,23.84,TRI004,2,center_face,1,no
E152,TRI032,triangle,center_face,yes,2,P033,P039,53.56,TRI041,1,left_cheek,1,no
E151,TRI032,triangle,center_face,yes,3,P039,P022,42.15,TRI031,3,center_face,1,no
E014,TRI033,triangle,forehead,yes,1,P024,P028,39.22,MANQ003-B,3,forehead,1,no
E074,TRI033,triangle,forehead,yes,2,P028,P067,64.12,QUAD021-A,2,right_cheek,1,no
E153,TRI033,triangle,forehead,yes,3,P067,P024,76.07,TRI037,1,back,1,no
E010,TRI034,triangle,forehead,yes,1,P024,P054,39.48,MANQ002-B,3,forehead,1,no
E106,TRI034,triangle,forehead,yes,2,P054,P064,64.12,QUAD035-A,2,left_cheek,1,no
E154,TRI034,triangle,forehead,yes,3,P064,P024,76.25,TRI035,1,back,1,no
E154,TRI035,triangle,back,yes,1,P024,P064,76.25,TRI034,3,forehead,1,no
E155,TRI035,triangle,back,yes,2,P064,P065,31.0,TRI064,2,back,1,no
E156,TRI035,triangle,back,yes,3,P065,P024,65.34,TRI036,1,back,1,no
E156,TRI036,triangle,back,yes,1,P024,P065,65.34,TRI035,3,back,1,no
E157,TRI036,triangle,back,yes,2,P065,P068,40.0,,,,0,yes
E158,TRI036,triangle,back,yes,3,P068,P024,65.26,TRI037,3,back,1,no
E153,TRI037,triangle,back,yes,1,P024,P067,76.07,TRI033,3,forehead,1,no
E109,TRI037,triangle,back,yes,2,P067,P068,31.0,QUAD036-A,1,back,1,no
E158,TRI037,triangle,back,yes,3,P068,P024,65.26,TRI036,3,back,1,no
E051,TRI038,triangle,bottom,yes,1,P029,P030,24.78,QUAD006-B,2,bottom,1,no
E068,TRI038,triangle,bottom,yes,2,P030,P032,51.38,QUAD017-B,2,right_cheek,1,no
E159,TRI038,triangle,bottom,yes,3,P032,P029,40.32,TRI039,3,bottom,1,no
E160,TRI039,triangle,bottom,yes,1,P029,P031,54.27,,,,0,yes
E149,TRI039,triangle,bottom,yes,2,P031,P032,25.15,TRI029,2,right_cheek,1,no
E159,TRI039,triangle,bottom,yes,3,P032,P029,40.32,TRI038,3,bottom,1,no
E150,TRI040,triangle,back,yes,1,P031,P071,72.42,TRI030,2,back,1,no
