view,edge_id,node_a,node_b,length_px,angle_deg_from_x,source_path_id
Side,SE017,S028,S021,109.342,66.42,SP006
Side,SE018,S021,S026,84.596,-72.4,SP006
Side,SE019,S026,S028,72.022,-164.23,SP006
Side,SE020,S035,S033,116.728,20.21,SP007
Side,SE021,S033,S026,92.201,120.05,SP007
Side,SE022,S017,S016,62.072,45.45,SP008
Side,SE023,S016,S021,77.536,-106.06,SP008
Side,SE024,S021,S018,54.064,28.63,SP008
Side,SE025,S018,S014,77.808,69.74,SP008
Side,SE026,S014,S016,59.048,-155.77,SP008
Side,SE027,S021,S022,57.024,-15.23,SP009
Side,SE028,S022,S018,41.159,101.56,SP009
Side,SE029,S026,S022,74.327,64.6,SP010
Side,SE030,S022,S014,113.936,80.62,SP010
Side,SE031,S014,S023,135.769,-57.08,SP010
Side,SE032,S023,S022,92.865,179.74,SP010
Side,SE033,S033,S023,164.513,61.08,SP011
Side,SE034,S023,S024,148.917,-9.05,SP011
Side,SE035,S024,S030,127.477,-136.55,SP011
Side,SE036,S030,S033,138.047,-166.2,SP011
Side,SE037,S030,S034,96.123,-135.44,SP012
Side,SE038,S034,S033,72.771,151.76,SP012
Side,SE039,S034,S037,120.618,-162.69,SP013
Side,SE040,S037,S035,66.229,152.23,SP013
Side,SE041,S035,S036,13.376,-152.88,SP013
Side,SE042,S036,S038,51.926,-43.01,SP013
Side,SE043,S038,S037,33.837,18.15,SP013
Side,SE044,S036,S032,67.579,124.78,SP014
Side,SE045,S034,S031,146.04,17.58,SP015
Side,SE046,S031,S030,72.076,160.83,SP015
Side,SE047,S031,S024,112.579,78.12,SP016
Side,SE048,S024,S029,100.822,-51.2,SP016
Side,SE049,S029,S031,91.958,-159.9,SP016
Side,SE050,S017,S010,142.763,66.65,SP017
Side,SE051,S010,S016,88.162,-98.96,SP017
Side,SE052,S010,S014,75.703,-56.55,SP018
Side,SE053,S014,S004,174.069,54.76,SP018
Side,SE054,S004,S010,162.642,-150.94,SP018
Side,SE055,S004,S012,118.712,-51.14,SP019
Side,SE056,S012,S014,181.742,-164.02,SP019
Side,SE057,S023,S012,191.508,58.47,SP020
Side,SE058,S012,S015,82.14,-51.17,SP020
Side,SE059,S015,S024,122.8,-92.24,SP020
Side,SE060,S024,S019,114.251,30.11,SP020
Side,SE061,S019,S015,114.843,145.03,SP020
Side,SE062,S015,S007,140.668,76.56,SP020
Side,SE063,S007,S011,81.884,-49.85,SP020
Side,SE064,S011,S015,113.299,-139.07,SP020
Side,SE065,S029,S020,146.838,61.71,SP021
Side,SE066,S020,S019,34.255,168.54,SP021
Side,SE067,S019,S029,140.795,-104.82,SP021
Side,SE068,S019,S011,138.757,93.55,SP022
Side,SE069,S011,S020,153.124,-73.73,SP022
Side,SE070,S020,S009,153.282,97.8,SP022
Side,SE071,S009,S011,23.459,-168.89,SP022
Side,SE072,S009,S003,121.567,135.37,SP023
