obj_part_1_based,obj_part_0_based,object_type,rod_id,node_a,node_b,physical_node_id,source_edges,constraint_quality,x_mm,y_mm_depth,z_mm_up
133,132,rod_cylinder,PSR133,P050,P060,,manual-side:S024-S029,heavy_estimate,,,
134,133,rod_cylinder,PSR134,P050,P062,,manual-side:S024-S019,heavy_estimate,,,
135,134,rod_cylinder,PSR135,P051,P052,,mirror:P025-P026,heavy_estimate,,,
136,135,rod_cylinder,PSR136,P052,P053,,mirror:P026-P027,heavy_estimate,,,
137,136,rod_cylinder,PSR137,P052,P064,,manual-ear-edge:P052-P064,heavy_estimate,,,
138,137,rod_cylinder,PSR138,P052,P066,,manual-ear-corner-direct:P052-P066,heavy_estimate,,,
139,138,rod_cylinder,PSR139,P053,P054,,manual-ear-base-split:P053-P054,heavy_estimate,,,
140,139,rod_cylinder,PSR140,P054,P064,,manual-connect:S011-P054,heavy_estimate,,,
141,140,rod_cylinder,PSR141,P054,P066,,manual-connect:S007-P054,heavy_estimate,,,
142,141,rod_cylinder,PSR142,P055,P056,,mirror:P029-P030,heavy_estimate,,,
143,142,rod_cylinder,PSR143,P055,P057,,mirror:P029-P031,heavy_estimate,,,
144,143,rod_cylinder,PSR144,P055,P058,,mirror:P029-P032,heavy_estimate,,,
145,144,rod_cylinder,PSR145,P056,P058,,mirror:P030-P032,heavy_estimate,,,
146,145,rod_cylinder,PSR146,P057,P058,,mirror:P031-P032,heavy_estimate,,,
147,146,rod_cylinder,PSR147,P057,P060,,manual-side:S029-S031,heavy_estimate,,,
148,147,rod_cylinder,PSR148,P060,P062,,manual-side:S019-S029,heavy_estimate,,,
149,148,rod_cylinder,PSR149,P060,P063,,manual-side:S029-S020,heavy_estimate,,,
150,149,rod_cylinder,PSR150,P060,P072,,manual-mirror-connect:P072-P060,heavy_estimate,,,
151,150,rod_cylinder,PSR151,P062,P063,,manual-side:S020-S019,heavy_estimate,,,
152,151,rod_cylinder,PSR152,P062,P064,,manual-side:S019-S011,heavy_estimate,,,
153,152,rod_cylinder,PSR153,P063,P064,,manual-side:S011-S020,heavy_estimate,,,
154,153,rod_cylinder,PSR154,P063,P065,,manual-side:S020-S009,heavy_estimate,,,
155,154,rod_cylinder,PSR155,P064,P065,,manual-side:S009-S011,heavy_estimate,,,
156,155,rod_cylinder,PSR156,P065,P068,,manual-coordinate-connect:P068-P065,heavy_estimate,,,
157,156,rod_cylinder,PSR157,P067,P068,,manual-mirror-connect:P067-P068,heavy_estimate,,,
158,157,rod_cylinder,PSR158,P067,P071,,manual-mirror-connect:P071-P067,heavy_estimate,,,
159,158,rod_cylinder,PSR159,P068,P070,,manual-mirror-connect:P070-P068,heavy_estimate,,,
160,159,rod_cylinder,PSR160,P070,P071,,manual-coordinate-connect:P071-P070,heavy_estimate,,,
161,160,rod_cylinder,PSR161,P070,P072,,manual-coordinate-connect:P070-P072,heavy_estimate,,,
162,161,rod_cylinder,PSR162,P071,P072,,manual-coordinate-connect:P072-P071,heavy_estimate,,,
163,162,node_sphere,,,,P001,,high_confidence,13.078,-38.322,-15.245
164,163,node_sphere,,,,P002,,high_confidence,13.477,-66.517,-48.345
165,164,node_sphere,,,,P003,,high_confidence,0.126,-66.884,-78.131
166,165,node_sphere,,,,P004,,manual_partial,-0.901,-53.315,-93.961
167,166,node_sphere,,,,P005,,manual_partial,20.978,-40.174,-110.0
168,167,node_sphere,,,,P007,,high_confidence,100.678,50.875,110.0
169,168,node_sphere,,,,P008,,high_confidence,46.45,16.08,43.175
170,169,node_sphere,,,,P009,,high_confidence,27.005,-15.535,31.183
171,170,node_sphere,,,,P010,,manual_partial,-0.101,26.305,66.831
172,171,node_sphere,,,,P011,,high_confidence,20.519,-59.814,-55.058
173,172,node_sphere,,,,P012,,high_confidence,42.611,-51.213,-61.676
174,173,node_sphere,,,,P013,,high_confidence,27.003,-55.85,-96.386
175,174,node_sphere,,,,P014,,high_confidence,55.045,-31.401,-53.353
176,175,node_sphere,,,,P015,,high_confidence,22.231,-33.475,-25.737
177,176,node_sphere,,,,P016,,high_confidence,68.285,-7.531,8.451
178,177,node_sphere,,,,P017,,high_confidence,69.376,-19.025,-30.945
179,178,node_sphere,,,,P018,,high_confidence,52.637,-18.912,-16.89
180,179,node_sphere,,,,P019,,high_confidence,29.307,-24.847,0.593
181,180,node_sphere,,,,P020,,high_confidence,82.229,4.96,-31.249
182,181,node_sphere,,,,P021,,manual_partial,84.626,66.884,-36.674
183,182,node_sphere,,,,P022,,manual_partial,0.001,-26.302,0.658
184,183,node_sphere,,,,P023,,manual_partial,0.0,-8.565,32.41
185,184,node_sphere,,,,P024,,manual_partial,0.142,56.344,68.768
186,185,node_sphere,,,,P025,,manual_partial,101.277,42.283,75.26
187,186,node_sphere,,,,P026,,manual_partial,82.174,41.495,14.838
188,187,node_sphere,,,,P027,,high_confidence,41.37,28.466,57.726
189,188,node_sphere,,,,P028,,manual_partial,37.198,44.938,62.884
190,189,node_sphere,,,,P029,,manual_partial,39.743,10.71,-94.287
191,190,node_sphere,,,,P030,,manual_partial,43.159,-11.336,-83.497
192,191,node_sphere,,,,P031,,manual_partial,59.297,58.675,-78.085
193,192,node_sphere,,,,P032,,manual_partial,61.717,34.799,-70.569
194,193,node_sphere,,,,P033,,symmetry_traced,-13.078,-38.322,-15.245
195,194,node_sphere,,,,P034,,symmetry_traced,-13.477,-66.517,-48.345
196,195,node_sphere,,,,P035,,heavy_estimate,-20.978,-40.174,-110.0
197,196,node_sphere,,,,P037,,heavy_estimate,-100.678,50.875,110.0
198,197,node_sphere,,,,P038,,heavy_estimate,-46.45,16.08,43.175
199,198,node_sphere,,,,P039,,heavy_estimate,-27.005,-15.535,31.183
200,199,node_sphere,,,,P040,,symmetry_traced,-20.519,-59.814,-55.058
201,200,node_sphere,,,,P041,,moderate_estimate,-42.611,-51.213,-61.676
202,201,node_sphere,,,,P042,,symmetry_traced,-27.003,-55.85,-96.386
203,202,node_sphere,,,,P043,,moderate_estimate,-55.045,-31.401,-53.353
204,203,node_sphere,,,,P044,,moderate_estimate,-22.231,-33.475,-25.737
205,204,node_sphere,,,,P045,,heavy_estimate,-68.285,-7.531,8.451
206,205,node_sphere,,,,P046,,heavy_estimate,-69.376,-19.025,-30.945
207,206,node_sphere,,,,P047,,heavy_estimate,-52.637,-18.912,-16.89
208,207,node_sphere,,,,P048,,heavy_estimate,-29.307,-24.847,0.593
209,208,node_sphere,,,,P049,,heavy_estimate,-82.229,4.96,-31.249
210,209,node_sphere,,,,P050,,heavy_estimate,-84.626,66.884,-36.674
211,210,node_sphere,,,,P051,,heavy_estimate,-101.277,42.283,75.26
212,211,node_sphere,,,,P052,,heavy_estimate,-82.174,41.495,14.838
213,212,node_sphere,,,,P053,,heavy_estimate,-41.37,28.466,57.726
214,213,node_sphere,,,,P054,,heavy_estimate,-37.198,44.938,62.884
215,214,node_sphere,,,,P055,,heavy_estimate,-39.743,10.71,-94.287
216,215,node_sphere,,,,P056,,heavy_estimate,-43.159,-11.336,-83.497
217,216,node_sphere,,,,P057,,heavy_estimate,-59.297,58.675,-78.085
218,217,node_sphere,,,,P058,,heavy_estimate,-61.717,34.799,-70.569
219,218,node_sphere,,,,P060,,heavy_estimate,-20.0,88.632,-66.699
220,219,node_sphere,,,,P062,,heavy_estimate,-60.0,101.002,-19.332
221,220,node_sphere,,,,P063,,heavy_estimate,-40.0,112.679,-21.822
222,221,node_sphere,,,,P064,,heavy_estimate,-50.0,97.93,29.133
223,222,node_sphere,,,,P065,,heavy_estimate,-20.0,105.568,30.809
224,223,node_sphere,,,,P066,,heavy_estimate,-54.945,73.222,32.9
225,224,node_sphere,,,,P067,,heavy_estimate,50.0,97.93,29.133
226,225,node_sphere,,,,P068,,heavy_estimate,20.0,105.568,30.809
227,226,node_sphere,,,,P069,,heavy_estimate,54.945,73.222,32.9
228,227,node_sphere,,,,P070,,heavy_estimate,40.0,112.679,-21.822
229,228,node_sphere,,,,P071,,heavy_estimate,60.0,101.002,-19.332
230,229,node_sphere,,,,P072,,heavy_estimate,20.0,88.632,-66.699
231,230,node_sphere,,,,P059,,moderate_estimate,0.0,-66.517,-48.345
